Sl No,date,day,shift,coursecode,roomno,rollnolist
1,20-09-2025,Saturday,Morning,CH5103,102,"2412CH02,2412CH03,2412CH04,2412CH05,2412CH07,2412CH08,2412CH09,2412CH10,2412CH11,2412CH12,2412CH13,2412CH14,2412CH15,2412CH19,2412CH20,2412CH21,2412CH22,2412CH23,2412CH24,2412CH25,2412CH26,2412CH27,2412CH28,2412CH30,"
2,20-09-2025,Saturday,Morning,CH2104,102,"2401AI51,2401AI52,2401CT01,2401CT03,2401CT04,2401CT05,2401CT06,2401CT07,2401CT09,2401CT10,2401CT11,2401CT12,2401CT13,2401CT14,2401CT15,2401CT16,2401CT17,2401CT18,2401CT19,2401CT20,2401CT21,2401CT22,2401CT23,2401CT25,2401CT26,2401CT28,2401CT29,2401CT30,2401CT31,2401CT32,2401CT34,2401CT35,2401CT36,2401EC53,2401MC57,"
3,20-09-2025,Saturday,Morning,PH403,102,"2201AI09,2201AI15,2201AI30,2201CB01,2201CB03,2201CB06,2201CB11,2201CB14,2201CB16,2201CB18,"
4,20-09-2025,Saturday,Morning,PH403,104,"2201CB19,2201CB22,2201CB23,2201CB24,2201CB29,2201CB30,2201CB35,2201CB37,2201CB38,2201CB42,2201CB46,2201CB52,2201CB53,2201CB56,2201CB61,2201CB63,2201CB65,2201CB67,2201CB68,2201CB70,"
5,20-09-2025,Saturday,Morning,PH5101,104,"2412PH01,2412PH03,2412PH04,2412PH06,2412PH07,2412PH08,2412PH09,2412PH10,2412PH11,2412PH12,2412PH13,2412PH14,2412PH15,2412PH16,2412PH17,2412PH18,2412PH20,2412PH21,2412PH22,2412PH23,2412PH24,"
6,20-09-2025,Saturday,Morning,EC2103,104,"2401AI49,2401AI54,2401AI55,2401CS89,2401CS92,2401CS93,2401EC01,2401EC02,2401EC03,2401EC04,2401EC05,2401EC06,2401EC07,2401EC08,2401EC09,2401EC10,2401EC11,2401EC12,2401EC13,2401EC14,2401EC15,2401EC17,2401EC18,2401EC19,2401EC21,2401EC23,2401EC27,"
7,20-09-2025,Saturday,Morning,CB2102,107,"2401CB01,2401CB02,2401CB03,2401CB04,2401CB05,2401CB06,2401CB07,2401CB08,2401CB09,2401CB10,2401CB11,2401CB12,2401CB14,2401CB15,2401CB16,2401CB17,2401CB18,2401CB19,2401CB21,2401CB22,2401CB23,2401CB25,2401CB26,2401CB27,2401CB29,2401CB30,2401CB31,2401CB32,2401CB33,2401CB34,2401CB35,2401CB36,2401CB38,2401CB40,2401CB41,2401CB42,2401CB43,2401CB44,2401CB45,2401CB46,2401CB48,2401CB50,2401CB52,2401CB53,2401CB54,2401CB55,2401CB56,2401CB58,2401CB59,2401CB60,2401CB61,2401CB62,2401CB63,2401CB64,2401CB65,2401CB66,2401CB67,2401CB68,2401CB69,2401CB70,2401EC54,2401EC57,2401EC60,2401EC61,2401EC63,2401EE52,"
8,20-09-2025,Saturday,Morning,CS6112,107,"2411CE50,2421CS09,2421CS11,2422CS03,2422CS04,2422CS07,2422CS16,2422CS18,2422CS20,2422CS21,2422CS22,"
9,20-09-2025,Saturday,Morning,CS2101,109,"2401AI01,2401AI02,2401AI03,2401AI04,2401AI05,2401AI06,2401AI07,2401AI08,2401AI09,2401AI10,2401AI11,2401AI12,2401AI13,2401AI14,2401AI15,2401AI16,2401AI17,2401AI18,2401AI19,2401AI20,2401AI21,2401AI22,2401AI23,2401AI24,2401AI25,2401AI26,2401AI27,2401AI28,2401AI29,2401AI30,2401AI31,2401AI32,2401AI33,2401AI34,2401AI36,2401AI37,2401AI38,2401AI39,2401AI40,2401AI41,2401AI42,2401AI43,2401AI44,2401AI45,2401AI46,2401AI47,2401AI48,2401AI49,2401AI50,2401AI51,2401AI52,2401AI53,2401AI54,2401AI55,2401AI56,2401CS01,2401CS02,2401CS04,2401CS05,2401CS06,2401CS07,2401CS08,2401CS09,2401CS10,2401CS11,2401CS12,2401CS13,2401CS14,2401CS15,2401CS16,2401CS17,2401CS18,2401CS19,2401CS20,"
10,20-09-2025,Saturday,Morning,ME6101,109,"2422ME03,2422ME04,2511TF10,2521ME03,2521ME06,2521ME10,"
